Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
5.054569875000000,26872,DATA,0x090,0x8,0x01 0x10 0x0E 0x00 0xF7 0xFF 0xFF 0xFF,0x5F94,ACK
5.054699125000000,26873,DATA,0x090,0x8,0x39 0x00 0x00 0x00 0x46 0x00 0x00 0x00,0x21A6,ACK
5.054822375000000,26874,DATA,0x090,0x8,0xFC 0x0E 0x66 0xCC 0x66 0xCC 0x55 0xAA,0x2613,ACK
5.054936625000000,26875,DATA,0x090,0x8,0x55 0xAA 0x01 0x10 0x0E 0x00 0xF9 0xFF,0x659C,ACK
5.055061875000000,26876,DATA,0x090,0x8,0xFF 0xFF 0x39 0x00 0x00 0x00 0x47 0x00,0x38BD,ACK
5.055183125000000,26877,DATA,0x090,0x8,0x00 0x00 0xFD 0x0E 0x66 0xCC 0x66 0xCC,0x2005,ACK
5.055439375000000,26878,DATA,0x108,0x8,0x55 0xAA 0x55 0xAA 0x09 0x10 0xB8 0x00,0x5AD4,ACK
5.055554500000000,26879,DATA,0x108,0x8,0x44 0x4A 0x49 0x01 0x18 0x42 0x18 0x42,0x2D17,ACK
5.055667750000000,26880,DATA,0x108,0x8,0x18 0x42 0x18 0x42 0x00 0x00 0x00 0x00,0x6D74,ACK
5.055796000000000,26881,DATA,0x108,0x8,0x00 0x00 0x64 0x00 0x00 0x00 0x00 0x00,0x2E47,ACK
5.055920250000000,26882,DATA,0x108,0x8,0x17 0xFC 0xE9 0x03 0xE9 0x03 0x00 0x00,0x73CC,ACK
5.056040500000000,26883,DATA,0x108,0x8,0xEB 0x01 0xE9 0x03 0x17 0xFC 0x17 0xFC,0x2B37,ACK
5.056164750000000,26884,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.056281000000000,26885,DATA,0x090,0x8,0xF9 0xFF 0xFF 0xFF 0x35 0x00 0x00 0x00,0x5D90,ACK
5.056403125000000,26886,DATA,0x090,0x8,0x4B 0x00 0x00 0x00 0xFE 0x0E 0x66 0xCC,0x7776,ACK
5.056527375000000,26887,DATA,0x090,0x2,0x66 0xCC,0x1021,ACK
5.056592625000000,26888,DATA,0x108,0x8,0xE9 0x03 0xE9 0x03 0x00 0x00 0x00 0x00,0x4FEE,ACK
5.056714875000000,26889,DATA,0x108,0x8,0x38 0x04 0x00 0x00 0x00 0x00 0x33 0x02,0x18CC,ACK
5.056846125000000,26890,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0xF3 0x8F,0x1ECC,ACK
5.056968375000000,26891,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x6C70,ACK
5.057093500000000,26892,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x6C70,ACK
5.057227750000000,26893,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x40 0x01 0x00 0x00,0x059E,ACK
5.057353000000000,26894,DATA,0x108,0x8,0xE2 0x7F 0x45 0x40 0x7E 0xA8 0xBA 0x41,0x2C16,ACK
5.057470250000000,26895,DATA,0x108,0x8,0x00 0x40 0x0D 0xC4 0x06 0x00 0x00 0x00,0x71C6,ACK
5.057601500000000,26896,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x6C70,ACK
5.057726750000000,26897,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x27 0xFE 0x00 0x00,0x6DD5,ACK
5.057851000000000,26898,DATA,0x108,0x8,0x5F 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x47B3,ACK
5.057982125000000,26899,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.058098375000000,26900,DATA,0x090,0x8,0xF8 0xFF 0xFF 0xFF 0x33 0x00 0x00 0x00,0x4CB0,ACK
5.058219625000000,26901,DATA,0x090,0x8,0x4E 0x00 0x00 0x00 0xFF 0x0E 0x66 0xCC,0x2CD5,ACK
5.058343875000000,26902,DATA,0x090,0x2,0x66 0xCC,0x1021,ACK
5.058409125000000,26903,DATA,0x108,0x8,0x93 0x30 0x33 0x10 0x30 0x10 0x30 0x10,0x70CE,ACK
5.058526250000000,26904,DATA,0x108,0x8,0x87 0x30 0x46 0x8B 0x74 0x43 0xB0 0x57,0x4C2B,ACK
5.058652500000000,26905,DATA,0x108,0x8,0x75 0x43 0x00 0x00 0x00 0x00 0x00 0x00,0x149B,ACK
5.058774750000000,26906,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x6C70,ACK
5.058900000000000,26907,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0xF0 0xBF 0xFF 0xFF,0x5C27,ACK
5.059034250000000,26908,DATA,0x108,0x8,0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00,0x5895,ACK
5.059158500000000,26909,DATA,0x108,0x8,0x00 0x00 0x00 0x0A 0x78 0x78 0x00 0x00,0x38EE,ACK
5.059280750000000,26910,DATA,0x108,0x4,0x66 0xCC 0x66 0xCC,0x680F,ACK
5.059458000000000,26911,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.059574125000000,26912,DATA,0x090,0x8,0xF8 0xFF 0xFF 0xFF 0x31 0x00 0x00 0x00,0x7140,ACK
5.059696375000000,26913,DATA,0x090,0x6,0x50 0x00 0x00 0x00 0x00 0x0F,0x55B2,ACK
5.059808625000000,26914,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
5.061055125000000,26915,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.061171375000000,26916,DATA,0x090,0x8,0xF8 0xFF 0xFF 0xFF 0x31 0x00 0x00 0x00,0x7140,ACK
